"school","official_website","city","state","association","division","conference","head_coach","tuition","size_category","enrollment","religious_affiliation"
"Hendrix College","https://www.hendrix.edu/","Conway","Arkansas","NCAA",3,"Southern Athletic Association","Brandon Marszalek",36650,"Small",1089,"Methodist"
"High Point University","https://www.highpoint.edu/","High Point","North Carolina","NCAA",1,"Big South Conference","John Crawley",42114,"Medium",4949,"Methodist"
"Hilbert College","https://www.hilbert.edu/","Hamburg","New York","NCAA",3,"Allegheny Mountain Collegiate Conference","Mike Carbery",30760,"Small",799,"Catholic"
"Hiram College","https://www.hiram.edu/","Hiram","Ohio","NCAA",3,"North Coast Athletic Conference","Jason Griffith",30200,"Small",698,"None"
"Hobart & William Smith College","https://www.hws.edu/","Geneva","New York","NCAA",1,"Atlantic 10 Conference","Stephen Brundage",63404,"Small",1780,"None"
"Hofstra University","https://www.hofstra.edu/","Hempstead","New York","NCAA",1,"Colonial Athletic Association","Seth Tierney",55450,"Medium",6001,"None"
"Hood College","https://www.hood.edu/","Frederick","Maryland","NCAA",3,"MAC Commonwealth Conference","Brad Barber",49380,"Small",1174,"None"
"Hope College","https://hope.edu/","Holland","Michigan","NCAA",3,"Michigan Intercollegiate Athletic Association","Michael Schanhals",43450,"Medium",3204,"Calvinist/Reformed"
"Howard Community College","https://www.howardcc.edu/","Columbia","Maryland","JC","","MD JUCO","Jack Watsic",8976,"Medium",2277,"None"
"Huntingdon College","https://www.huntingdon.edu/","Montgomery","Alabama","NCAA",3,"USA South Athletic Conference","Andrew Carey",28650,"Small",849,"Methodist"
"Husson University","https://www.husson.edu/","Bangor","Maine","NCAA",3,"Eastern Collegiate Football Conference","Mike O'Neill",23304,"Small",1982,"None"
"Illinois Institute of Technology","https://www.iit.edu/","Chicago","Illinois","NCAA",3,"Division III Independents","Dan Sharbaugh",51648,"Medium",2662,"None"
"Illinois Wesleyan University","https://www.iwu.edu/","Bloomington","Illinois","NCAA",3,"College Conference of Illinois and Wisconsin","Zach Iannucci",59226,"Small",1518,"None"
"Immaculata University","https://www.immaculata.edu/","East Whitehead","Pennsylvania","NCAA",3,"Colonial States Athletic Conference","Kent Snoddy",28550,"Small",1017,"Catholic"
"Indiana Tech","https://www.indianatech.edu/","Fort Wayne","Indiana","NAIA","","Wolverine-Hoosier Athletic Conference","Bryan Seaman",31915,"Small",1326,"None"
"Iona University","https://www.iona.edu/","New Rochelle","New York","NCAA",1,"Metro Atlantic Athletic Conference","Chad Surman",45880,"Medium",2701,"Catholic"
"Ithaca College","https://www.ithaca.edu/","Ithaca","New York","NCAA",3,"Liberty League","Tommy Pearce",56752,"Medium",4285,"None"
"Jacksonville University","https://www.ju.edu/admissions/prospective-students.php?utm_source=niche.com%2freferral&utm_medium=niche&utm_campaign=prospectivestudent25","Jacksonville","Florida","NCAA",1,"Atlantic Sun Conference","John Galloway",48500,"Medium",2337,"None"
"John Carroll University","https://jcu.edu/","University Heights","Ohio","NCAA",3,"Ohio Athletic Conference","Joe Rautenstrauch",49100,"Medium",2235,"Catholic"
"Johns Hopkins University","https://apply.jhu.edu/","Baltimore","Maryland","NCAA",1,"Big Ten Conference","",66670,"Medium",5607,"None"
"Johnson & Wales University – Providence","https://www.jwu.edu/campuses/providence/","Providence","Rhode Island","NCAA",3,"Great Northeast Athletic Conference","Jeff Cohen",39792,"Medium",4339,"None"
"Juniata College","https://www.juniata.edu/","Huntingdon","Pennsylvania","NCAA",3,"Centennial Conference","Dylan Abplanalp",59500,"Small",1242,"None"
"Kalamazoo College","https://www.kzoo.edu/","Kalamazoo","Michigan","NCAA",3,"Michigan Intercollegiate Athletic Association","Vince Redko",63276,"Small",1190,"None"
"Kean University","https://www.kean.edu/","Union","New Jersey","NCAA",3,"New Jersey Athletic Conference","Alex Lopes",22446,"Medium",9396,"None"
"Keene State College","https://www.keene.edu/","Keene","New Hampshire","NCAA",3,"Little East Conference","Mark Theriault",26186,"Medium",2655,"None"
"Kenyon College","https://www.kenyon.edu/","Gambier","Ohio","NCAA",3,"North Coast Athletic Conference","Doug Misarti",69330,"Small",1752,"None"
"Keuka College","https://www.keuka.edu/","Keuka Park","New York","NCAA",3,"North Eastern Athletic Conference","Ty Trombley",39292,"Small",841,"None"
"Keystone College","https://www.keystone.edu/","La Plume","Pennsylvania","NCAA",3,"Colonial States Athletic Conference","Brett Capps",18600,"Small",744,"None"
"King's College – Pennsylvania","https://www.kings.edu/","Wilkes-Barre","Pennsylvania","NCAA",3,"Division III Independents","",42600,"Small",1494,"Catholic"
"La Roche University","https://www.laroche.edu/","Pittsburgh","Pennsylvania","NCAA",3,"Division III Independents","Jimmy McCann",34164,"Small",703,"Catholic"
